index,gamma,spacing_raw,spacing_normalized,source,block_label
1000000000001,267653395648.8475231278,0.5148438409,2.005486772799011,odlyzko_block_1e12_10k,block_1e12_10k
1000000000002,267653395649.3623669687,0.3192639478,1.2436385044934586,odlyzko_block_1e12_10k,block_1e12_10k
1000000000003,267653395649.6816309165,0.1803590273,0.7025579697579554,odlyzko_block_1e12_10k,block_1e12_10k
1000000000004,267653395649.8619899438,0.2956755352,1.151753848016093,odlyzko_block_1e12_10k,block_1e12_10k
1000000000005,267653395650.1576654790,0.2766012049,1.0774530327441076,odlyzko_block_1e12_10k,block_1e12_10k
1000000000006,267653395650.4342666839,0.1466246160,0.5711512979173826,odlyzko_block_1e12_10k,block_1e12_10k
1000000000007,267653395650.5808912999,0.2535882321,0.9878099043102877,odlyzko_block_1e12_10k,block_1e12_10k
1000000000008,267653395650.8344795320,0.2240024691,0.8725635875709382,odlyzko_block_1e12_10k,block_1e12_10k
1000000000009,267653395651.0584820011,0.2985841323,1.1630837942020373,odlyzko_block_1e12_10k,block_1e12_10k
1000000000010,267653395651.3570661334,0.3447163703,1.3427840950679237,odlyzko_block_1e12_10k,block_1e12_10k
1000000000011,267653395651.7017825037,0.2031195879,0.7912178693211469,odlyzko_block_1e12_10k,block_1e12_10k
1000000000012,267653395651.9049020916,0.1338506796,0.5213925974113438,odlyzko_block_1e12_10k,block_1e12_10k
1000000000013,267653395652.0387527712,0.2641726850,1.0290398435696968,odlyzko_block_1e12_10k,block_1e12_10k
1000000000014,267653395652.3029254562,0.4861854936,1.893853046464739,odlyzko_block_1e12_10k,block_1e12_10k
1000000000015,267653395652.7891109498,0.1755097043,0.6836682553226743,odlyzko_block_1e12_10k,block_1e12_10k
1000000000016,267653395652.9646206541,0.2144026794,0.8351692366329659,odlyzko_block_1e12_10k,block_1e12_10k
1000000000017,267653395653.1790233335,0.0487402322,0.1898592994905867,odlyzko_block_1e12_10k,block_1e12_10k
1000000000018,267653395653.2277635657,0.2842854776,1.1073858124230125,odlyzko_block_1e12_10k,block_1e12_10k
1000000000019,267653395653.5120490433,0.3256311308,1.268440784859838,odlyzko_block_1e12_10k,block_1e12_10k
1000000000020,267653395653.8376801741,0.2277428290,0.8871335245290196,odlyzko_block_1e12_10k,block_1e12_10k
1000000000021,267653395654.0654230031,0.2122536680,0.8267981275803813,odlyzko_block_1e12_10k,block_1e12_10k
1000000000022,267653395654.2776766711,0.3450368757,1.34403256943929,odlyzko_block_1e12_10k,block_1e12_10k
1000000000023,267653395654.6227135468,0.3424441400,1.33393300771084,odlyzko_block_1e12_10k,block_1e12_10k
1000000000024,267653395654.9651576868,0.2473312718,0.9634369777597551,odlyzko_block_1e12_10k,block_1e12_10k
1000000000025,267653395655.2124889586,0.1206506904,0.4699742805576285,odlyzko_block_1e12_10k,block_1e12_10k
1000000000026,267653395655.3331396490,0.3594426276,1.4001477301787304,odlyzko_block_1e12_10k,block_1e12_10k
1000000000027,267653395655.6925822766,0.2527112807,0.9843938890198686,odlyzko_block_1e12_10k,block_1e12_10k
1000000000028,267653395655.9452935573,0.1473904911,0.5741346343407729,odlyzko_block_1e12_10k,block_1e12_10k
1000000000029,267653395656.0926840484,0.3285931326,1.2799787599879593,odlyzko_block_1e12_10k,block_1e12_10k
1000000000030,267653395656.4212771810,0.1648877050,0.642292060437209,odlyzko_block_1e12_10k,block_1e12_10k
1000000000031,267653395656.5861648860,0.3930975533,1.5312447793599224,odlyzko_block_1e12_10k,block_1e12_10k
1000000000032,267653395656.9792624393,0.2235643150,0.8708568326643606,odlyzko_block_1e12_10k,block_1e12_10k
1000000000033,267653395657.2028267543,0.2868884619,1.1175252958335171,odlyzko_block_1e12_10k,block_1e12_10k
1000000000034,267653395657.4897152162,0.2304420002,0.8976476876778282,odlyzko_block_1e12_10k,block_1e12_10k
1000000000035,267653395657.7201572164,0.2648633371,1.031730161568249,odlyzko_block_1e12_10k,block_1e12_10k
1000000000036,267653395657.9850205535,0.3057247422,1.1908988277465529,odlyzko_block_1e12_10k,block_1e12_10k
1000000000037,267653395658.2907452957,0.1376366166,0.5361400722245809,odlyzko_block_1e12_10k,block_1e12_10k
1000000000038,267653395658.4283819123,0.2726888962,1.0622132984305888,odlyzko_block_1e12_10k,block_1e12_10k
1000000000039,267653395658.7010708085,0.3234087675,1.2597839459352387,odlyzko_block_1e12_10k,block_1e12_10k
1000000000040,267653395659.0244795760,0.2285780990,0.8903871770038202,odlyzko_block_1e12_10k,block_1e12_10k
1000000000041,267653395659.2530576750,0.2755282222,1.073273410807165,odlyzko_block_1e12_10k,block_1e12_10k
1000000000042,267653395659.5285858972,0.2566654538,0.9997966989978511,odlyzko_block_1e12_10k,block_1e12_10k
1000000000043,267653395659.7852513510,0.2864752461,1.1159156838402235,odlyzko_block_1e12_10k,block_1e12_10k
1000000000044,267653395660.0717265971,0.1737385911,0.6767691845498057,odlyzko_block_1e12_10k,block_1e12_10k
1000000000045,267653395660.2454651882,0.2995054116,1.1666724813033857,odlyzko_block_1e12_10k,block_1e12_10k
1000000000046,267653395660.5449705998,0.3139299782,1.2228609315122256,odlyzko_block_1e12_10k,block_1e12_10k
1000000000047,267653395660.8589005780,0.3355926298,1.3072441129672434,odlyzko_block_1e12_10k,block_1e12_10k
