block_label,bin_left,bin_right,bin_center,density,sine_kernel
gue,0.0,0.05,0.025,0.017006802721088433,0.002054477198427662
gue,0.05,0.1,0.07500000000000001,0.017006802721088433,0.018369068575370906
gue,0.1,0.15000000000000002,0.125,0.0510204081632653,0.05035879644821628
gue,0.15000000000000002,0.2,0.17500000000000002,0.1530612244897959,0.09677830454938052
gue,0.2,0.25,0.225,0.17006802721088435,0.15584139770858585
gue,0.25,0.30000000000000004,0.275,0.2040816326530612,0.22531366080879422
gue,0.30000000000000004,0.35000000000000003,0.32500000000000007,0.32312925170068024,0.3026270369783429
gue,0.35000000000000003,0.4,0.375,0.37414965986394555,0.3850094944935739
gue,0.4,0.45,0.42500000000000004,0.4081632653061224,0.4696220918860943
gue,0.45,0.5,0.475,0.5442176870748299,0.5536954340583411
gue,0.5,0.55,0.525,0.5782312925170068,0.634657713594243
gue,0.55,0.6000000000000001,0.5750000000000001,0.629251700680272,0.7102472297827623
gue,0.6000000000000001,0.65,0.625,0.7142857142857142,0.7786034180176866
gue,0.65,0.7000000000000001,0.675,0.9863945578231291,0.8383319194092455
gue,0.7000000000000001,0.75,0.7250000000000001,0.8333333333333333,0.8885409666562
gue,0.75,0.8,0.775,0.7482993197278911,0.9288482343542096
gue,0.8,0.8500000000000001,0.8250000000000001,0.8673469387755102,0.9593591707281172
gue,0.8500000000000001,0.9,0.875,1.139455782312925,0.9806195672744534
gue,0.9,0.9500000000000001,0.925,1.0374149659863945,0.993546619150605
gue,0.9500000000000001,1.0,0.9750000000000001,1.1564625850340136,0.9993438885451666
gue,1.0,1.05,1.025,0.9523809523809523,0.9994063381779884
gue,1.05,1.1,1.0750000000000002,0.9863945578231291,0.9952219154230277
gue,1.1,1.1500000000000001,1.125,0.8503401360544217,0.9882760345240521
gue,1.1500000000000001,1.2000000000000002,1.1750000000000003,1.1054421768707483,0.9799647518890536
gue,1.2000000000000002,1.25,1.225,0.9523809523809523,0.9715215132088277
gue,1.25,1.3,1.275,0.9523809523809523,0.963961150695065
gue,1.3,1.35,1.3250000000000002,0.9523809523809523,0.9580434208790815
gue,1.35,1.4000000000000001,1.375,0.9693877551020408,0.9542569045491088
gue,1.4000000000000001,1.4500000000000002,1.4250000000000003,1.139455782312925,0.9528226483702927
gue,1.4500000000000002,1.5,1.475,1.1564625850340136,0.9537156138164496
gue,1.5,1.55,1.525,0.9353741496598639,0.9567009007511585
gue,1.55,1.6,1.5750000000000002,0.9523809523809523,0.9613808980990378
gue,1.6,1.6500000000000001,1.625,0.8673469387755102,0.9672490263339774
gue,1.6500000000000001,1.7000000000000002,1.6750000000000003,1.0034013605442176,0.9737455935062018
gue,1.7000000000000002,1.75,1.725,0.9693877551020408,0.9803114793022188
gue,1.75,1.8,1.775,0.7993197278911564,0.9864358566186064
gue,1.8,1.85,1.8250000000000002,1.0714285714285714,0.9916949027815575
gue,1.85,1.9000000000000001,1.875,0.8673469387755102,0.9957793724286588
gue,1.9000000000000001,1.9500000000000002,1.9250000000000003,1.139455782312925,0.9985099210013794
gue,1.9500000000000002,2.0,1.975,0.8333333333333333,0.9998400984581315
gue,2.0,2.0500000000000003,2.0250000000000004,1.2244897959183672,0.99984789734449
gue,2.0500000000000003,2.1,2.075,0.9353741496598639,0.9987175673707619
gue,2.1,2.15,2.125,1.173469387755102,0.9967140442783675
gue,2.15,2.2,2.175,1.0544217687074828,0.994152746323546
gue,2.2,2.25,2.225,0.8503401360544217,0.991367649692513
gue,2.25,2.3000000000000003,2.2750000000000004,0.6462585034013605,0.9886804676920498
gue,2.3000000000000003,2.35,2.325,1.0884353741496597,0.9863734500230478
gue,2.35,2.4000000000000004,2.375,0.9183673469387754,0.9846678267325267
gue,2.4000000000000004,2.45,2.4250000000000003,1.1224489795918366,0.9837092979652546
gue,2.45,2.5,2.475,1.3775510204081631,0.983561274532707
gue,2.5,2.5500000000000003,2.5250000000000004,0.8673469387755102,0.9842058672380218
gue,2.5500000000000003,2.6,2.575,0.8673469387755102,0.9855519638566388
gue,2.6,2.6500000000000004,2.625,0.8333333333333333,0.9874491733570118
gue,2.6500000000000004,2.7,2.6750000000000003,1.173469387755102,0.9897059978381815
gue,2.7,2.75,2.725,1.1224489795918366,0.9921103402876748
gue,2.75,2.8000000000000003,2.7750000000000004,0.7653061224489796,0.9944503817234311
gue,2.8000000000000003,2.85,2.825,0.8333333333333333,0.9965339601317973
gue,2.85,2.9000000000000004,2.875,0.9353741496598639,0.9982048370443255
gue,2.9000000000000004,2.95,2.9250000000000003,0.8163265306122448,0.9993546147722389
gue,2.95,3.0,2.975,0.9353741496598639,0.9999295285980649
gue,3.0,3.0500000000000003,3.0250000000000004,1.0714285714285714,0.9999318389780205
gue,3.0500000000000003,3.1,3.075,1.0884353741496597,0.9994160434673263
gue,3.1,3.1500000000000004,3.125,0.8673469387755102,0.9984805740743171
gue,3.1500000000000004,3.2,3.1750000000000003,0.9523809523809523,0.9972560070012351
gue,3.2,3.25,3.225,1.258503401360544,0.995891061427462
