block_label,bin_left,bin_right,bin_center,density,sine_kernel
poisson,0.0,0.05,0.025,1.0698930106989302,0.002054477198427662
poisson,0.05,0.1,0.07500000000000001,0.9359064093590641,0.018369068575370906
poisson,0.1,0.15000000000000002,0.125,1.007899210078992,0.05035879644821628
poisson,0.15000000000000002,0.2,0.17500000000000002,0.9679032096790321,0.09677830454938052
poisson,0.2,0.25,0.225,1.0418958104189582,0.15584139770858585
poisson,0.25,0.30000000000000004,0.275,0.9639036096390361,0.22531366080879422
poisson,0.30000000000000004,0.35000000000000003,0.32500000000000007,0.9759024097590241,0.3026270369783429
poisson,0.35000000000000003,0.4,0.375,1.087891210878912,0.3850094944935739
poisson,0.4,0.45,0.42500000000000004,0.9859014098590141,0.4696220918860943
poisson,0.45,0.5,0.475,0.9859014098590141,0.5536954340583411
poisson,0.5,0.55,0.525,0.9739026097390261,0.634657713594243
poisson,0.55,0.6000000000000001,0.5750000000000001,1.031896810318968,0.7102472297827623
poisson,0.6000000000000001,0.65,0.625,0.9979002099790021,0.7786034180176866
poisson,0.65,0.7000000000000001,0.675,0.9439056094390561,0.8383319194092455
poisson,0.7000000000000001,0.75,0.7250000000000001,1.0378962103789622,0.8885409666562
poisson,0.75,0.8,0.775,0.9759024097590241,0.9288482343542096
poisson,0.8,0.8500000000000001,0.8250000000000001,1.047895210478952,0.9593591707281172
poisson,0.8500000000000001,0.9,0.875,0.9519048095190481,0.9806195672744534
poisson,0.9,0.9500000000000001,0.925,1.035896410358964,0.993546619150605
poisson,0.9500000000000001,1.0,0.9750000000000001,1.0578942105789422,0.9993438885451666
poisson,1.0,1.05,1.025,1.0498950104989502,0.9994063381779884
poisson,1.05,1.1,1.0750000000000002,1.0498950104989502,0.9952219154230277
poisson,1.1,1.1500000000000001,1.125,0.9839016098390161,0.9882760345240521
poisson,1.1500000000000001,1.2000000000000002,1.1750000000000003,0.9519048095190481,0.9799647518890536
poisson,1.2000000000000002,1.25,1.225,1.0498950104989502,0.9715215132088277
poisson,1.25,1.3,1.275,0.9279072092790721,0.963961150695065
poisson,1.3,1.35,1.3250000000000002,0.9799020097990201,0.9580434208790815
poisson,1.35,1.4000000000000001,1.375,1.063893610638936,0.9542569045491088
poisson,1.4000000000000001,1.4500000000000002,1.4250000000000003,1.075892410758924,0.9528226483702927
poisson,1.4500000000000002,1.5,1.475,0.9859014098590141,0.9537156138164496
poisson,1.5,1.55,1.525,1.0778922107789222,0.9567009007511585
poisson,1.55,1.6,1.5750000000000002,1.003899610038996,0.9613808980990378
poisson,1.6,1.6500000000000001,1.625,0.9939006099390061,0.9672490263339774
poisson,1.6500000000000001,1.7000000000000002,1.6750000000000003,1.0178982101789822,0.9737455935062018
poisson,1.7000000000000002,1.75,1.725,0.9839016098390161,0.9803114793022188
poisson,1.75,1.8,1.775,1.023897610238976,0.9864358566186064
poisson,1.8,1.85,1.8250000000000002,0.9719028097190281,0.9916949027815575
poisson,1.85,1.9000000000000001,1.875,0.9779022097790221,0.9957793724286588
poisson,1.9000000000000001,1.9500000000000002,1.9250000000000003,0.9619038096190381,0.9985099210013794
poisson,1.9500000000000002,2.0,1.975,0.9959004099590041,0.9998400984581315
poisson,2.0,2.0500000000000003,2.0250000000000004,0.9379062093790621,0.99984789734449
poisson,2.0500000000000003,2.1,2.075,1.015898410158984,0.9987175673707619
poisson,2.1,2.15,2.125,1.0658934106589342,0.9967140442783675
poisson,2.15,2.2,2.175,1.031896810318968,0.994152746323546
poisson,2.2,2.25,2.225,0.9519048095190481,0.991367649692513
poisson,2.25,2.3000000000000003,2.2750000000000004,1.003899610038996,0.9886804676920498
poisson,2.3000000000000003,2.35,2.325,1.0138986101389862,0.9863734500230478
poisson,2.35,2.4000000000000004,2.375,1.01989801019898,0.9846678267325267
poisson,2.4000000000000004,2.45,2.4250000000000003,1.0578942105789422,0.9837092979652546
poisson,2.45,2.5,2.475,0.9819018098190181,0.983561274532707
poisson,2.5,2.5500000000000003,2.5250000000000004,1.003899610038996,0.9842058672380218
poisson,2.5500000000000003,2.6,2.575,0.9519048095190481,0.9855519638566388
poisson,2.6,2.6500000000000004,2.625,0.8919108089191081,0.9874491733570118
poisson,2.6500000000000004,2.7,2.6750000000000003,1.0418958104189582,0.9897059978381815
poisson,2.7,2.75,2.725,0.9619038096190381,0.9921103402876748
poisson,2.75,2.8000000000000003,2.7750000000000004,1.005899410058994,0.9944503817234311
poisson,2.8000000000000003,2.85,2.825,1.0218978102189782,0.9965339601317973
poisson,2.85,2.9000000000000004,2.875,1.015898410158984,0.9982048370443255
