index,gamma,source,block_label
1000000000000000000001,144176897509546973538.4980696,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000002,144176897509546973538.6935512,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000003,144176897509546973538.7546566,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000004,144176897509546973538.8540488,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000005,144176897509546973538.9701291,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000006,144176897509546973539.2149463,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000007,144176897509546973539.3528598,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000008,144176897509546973539.5686258,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000009,144176897509546973539.6858885,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000010,144176897509546973539.8355331,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000011,144176897509546973540.0292486,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000012,144176897509546973540.1868368,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000013,144176897509546973540.2874222,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000014,144176897509546973540.3447642,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000015,144176897509546973540.3820442,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000016,144176897509546973540.5851615,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000017,144176897509546973540.7854386,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000018,144176897509546973540.8429113,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000019,144176897509546973540.9267902,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000020,144176897509546973541.2053490,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000021,144176897509546973541.3289014,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000022,144176897509546973541.4133909,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000023,144176897509546973541.6573796,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000024,144176897509546973541.7955628,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000025,144176897509546973541.8503179,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000026,144176897509546973542.0824816,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000027,144176897509546973542.2427787,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000028,144176897509546973542.3550715,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000029,144176897509546973542.4633405,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000030,144176897509546973542.5754115,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000031,144176897509546973542.7025443,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000032,144176897509546973542.8213605,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000033,144176897509546973542.9101080,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000034,144176897509546973543.0795999,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000035,144176897509546973543.3807391,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000036,144176897509546973543.5015927,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000037,144176897509546973543.5873659,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000038,144176897509546973543.7450318,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000039,144176897509546973543.8180783,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000040,144176897509546973544.0197503,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000041,144176897509546973544.1692536,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000042,144176897509546973544.2863262,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000043,144176897509546973544.4438688,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000044,144176897509546973544.4983613,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000045,144176897509546973544.7852894,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000046,144176897509546973544.8114894,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000047,144176897509546973545.0706576,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000048,144176897509546973545.1278645,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000049,144176897509546973545.2954163,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000050,144176897509546973545.3556944,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000051,144176897509546973545.4409717,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000052,144176897509546973545.6373006,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000053,144176897509546973545.8659357,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000054,144176897509546973546.0066760,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000055,144176897509546973546.1465342,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000056,144176897509546973546.2812012,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000057,144176897509546973546.4050271,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000058,144176897509546973546.5797717,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000059,144176897509546973546.7739987,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000060,144176897509546973547.0156738,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000061,144176897509546973547.0663815,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000062,144176897509546973547.1736026,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000063,144176897509546973547.3378725,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000064,144176897509546973547.4173230,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000065,144176897509546973547.6508123,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000066,144176897509546973547.7097224,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000067,144176897509546973547.8321993,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000068,144176897509546973547.9923097,odlyzko_block_1e21_10k,block_1e21_10k
1000000000000000000069,144176897509546973548.1874808,odlyzko_block_1e21_10k,block_1e21_10k
