index,gamma,source,block_label
1000000000080,267653395669.2982433895,odlyzko_block_1e12_10k,block_1e12_10k
1000000000081,267653395669.6025488242,odlyzko_block_1e12_10k,block_1e12_10k
1000000000082,267653395669.7407266969,odlyzko_block_1e12_10k,block_1e12_10k
1000000000083,267653395669.9591807930,odlyzko_block_1e12_10k,block_1e12_10k
1000000000084,267653395670.4601646703,odlyzko_block_1e12_10k,block_1e12_10k
1000000000085,267653395670.5875419113,odlyzko_block_1e12_10k,block_1e12_10k
1000000000086,267653395670.7713458520,odlyzko_block_1e12_10k,block_1e12_10k
1000000000087,267653395670.9963646070,odlyzko_block_1e12_10k,block_1e12_10k
1000000000088,267653395671.2633913767,odlyzko_block_1e12_10k,block_1e12_10k
1000000000089,267653395671.5141670562,odlyzko_block_1e12_10k,block_1e12_10k
1000000000090,267653395671.8679993166,odlyzko_block_1e12_10k,block_1e12_10k
1000000000091,267653395672.1890344724,odlyzko_block_1e12_10k,block_1e12_10k
1000000000092,267653395672.3710716131,odlyzko_block_1e12_10k,block_1e12_10k
1000000000093,267653395672.6951947795,odlyzko_block_1e12_10k,block_1e12_10k
1000000000094,267653395672.8002716899,odlyzko_block_1e12_10k,block_1e12_10k
1000000000095,267653395673.0931441473,odlyzko_block_1e12_10k,block_1e12_10k
1000000000096,267653395673.4747073597,odlyzko_block_1e12_10k,block_1e12_10k
1000000000097,267653395673.7328671640,odlyzko_block_1e12_10k,block_1e12_10k
1000000000098,267653395673.8452413255,odlyzko_block_1e12_10k,block_1e12_10k
1000000000099,267653395674.1788785042,odlyzko_block_1e12_10k,block_1e12_10k
1000000000100,267653395674.3915973284,odlyzko_block_1e12_10k,block_1e12_10k
1000000000101,267653395674.6923746411,odlyzko_block_1e12_10k,block_1e12_10k
1000000000102,267653395674.9058127564,odlyzko_block_1e12_10k,block_1e12_10k
1000000000103,267653395675.0527090628,odlyzko_block_1e12_10k,block_1e12_10k
1000000000104,267653395675.3096285882,odlyzko_block_1e12_10k,block_1e12_10k
1000000000105,267653395675.5692979670,odlyzko_block_1e12_10k,block_1e12_10k
1000000000106,267653395675.6953233381,odlyzko_block_1e12_10k,block_1e12_10k
1000000000107,267653395676.2108373884,odlyzko_block_1e12_10k,block_1e12_10k
1000000000108,267653395676.5832635317,odlyzko_block_1e12_10k,block_1e12_10k
1000000000109,267653395676.7291859805,odlyzko_block_1e12_10k,block_1e12_10k
1000000000110,267653395676.9084925860,odlyzko_block_1e12_10k,block_1e12_10k
1000000000111,267653395677.2815418168,odlyzko_block_1e12_10k,block_1e12_10k
1000000000112,267653395677.6145108332,odlyzko_block_1e12_10k,block_1e12_10k
1000000000113,267653395677.7598974693,odlyzko_block_1e12_10k,block_1e12_10k
1000000000114,267653395678.0640546459,odlyzko_block_1e12_10k,block_1e12_10k
1000000000115,267653395678.3278843196,odlyzko_block_1e12_10k,block_1e12_10k
1000000000116,267653395678.6109559202,odlyzko_block_1e12_10k,block_1e12_10k
1000000000117,267653395678.9464324714,odlyzko_block_1e12_10k,block_1e12_10k
1000000000118,267653395679.0960873707,odlyzko_block_1e12_10k,block_1e12_10k
1000000000119,267653395679.4294032073,odlyzko_block_1e12_10k,block_1e12_10k
1000000000120,267653395679.4914948458,odlyzko_block_1e12_10k,block_1e12_10k
1000000000121,267653395679.8003463481,odlyzko_block_1e12_10k,block_1e12_10k
1000000000122,267653395680.1946894459,odlyzko_block_1e12_10k,block_1e12_10k
1000000000123,267653395680.2482953889,odlyzko_block_1e12_10k,block_1e12_10k
1000000000124,267653395680.6341040601,odlyzko_block_1e12_10k,block_1e12_10k
1000000000125,267653395680.8291100509,odlyzko_block_1e12_10k,block_1e12_10k
1000000000126,267653395681.2042129326,odlyzko_block_1e12_10k,block_1e12_10k
1000000000127,267653395681.3994775488,odlyzko_block_1e12_10k,block_1e12_10k
1000000000128,267653395681.7098453117,odlyzko_block_1e12_10k,block_1e12_10k
1000000000129,267653395681.9221742465,odlyzko_block_1e12_10k,block_1e12_10k
1000000000130,267653395682.0325394964,odlyzko_block_1e12_10k,block_1e12_10k
1000000000131,267653395682.1487015071,odlyzko_block_1e12_10k,block_1e12_10k
1000000000132,267653395682.4037112343,odlyzko_block_1e12_10k,block_1e12_10k
1000000000133,267653395682.7497687803,odlyzko_block_1e12_10k,block_1e12_10k
1000000000134,267653395682.9928855223,odlyzko_block_1e12_10k,block_1e12_10k
1000000000135,267653395683.1515138898,odlyzko_block_1e12_10k,block_1e12_10k
1000000000136,267653395683.6964768910,odlyzko_block_1e12_10k,block_1e12_10k
1000000000137,267653395684.0354078128,odlyzko_block_1e12_10k,block_1e12_10k
