index,gamma,source
153,323.466969558,sage_odlyzko_zeta
154,324.862866052,sage_odlyzko_zeta
155,327.443901262,sage_odlyzko_zeta
156,329.03307168,sage_odlyzko_zeta
157,329.953239728,sage_odlyzko_zeta
158,331.474467583,sage_odlyzko_zeta
159,333.645378525,sage_odlyzko_zeta
160,334.211354833,sage_odlyzko_zeta
161,336.841850428,sage_odlyzko_zeta
162,338.339992851,sage_odlyzko_zeta
163,339.858216725,sage_odlyzko_zeta
164,341.042261111,sage_odlyzko_zeta
165,342.05487751,sage_odlyzko_zeta
166,344.66170294,sage_odlyzko_zeta
167,346.347870566,sage_odlyzko_zeta
168,347.272677584,sage_odlyzko_zeta
169,349.316260871,sage_odlyzko_zeta
170,350.408419349,sage_odlyzko_zeta
171,351.878649025,sage_odlyzko_zeta
172,353.488900489,sage_odlyzko_zeta
173,356.017574977,sage_odlyzko_zeta
174,357.151302252,sage_odlyzko_zeta
175,357.952685102,sage_odlyzko_zeta
176,359.743754953,sage_odlyzko_zeta
177,361.289361696,sage_odlyzko_zeta
178,363.331330579,sage_odlyzko_zeta
179,364.736024114,sage_odlyzko_zeta
180,366.212710288,sage_odlyzko_zeta
181,367.993575482,sage_odlyzko_zeta
182,368.968438096,sage_odlyzko_zeta
183,370.050919212,sage_odlyzko_zeta
184,373.061928372,sage_odlyzko_zeta
185,373.864873911,sage_odlyzko_zeta
186,375.825912767,sage_odlyzko_zeta
187,376.324092231,sage_odlyzko_zeta
188,378.43668025,sage_odlyzko_zeta
189,379.872975347,sage_odlyzko_zeta
190,381.484468617,sage_odlyzko_zeta
191,383.44352945,sage_odlyzko_zeta
192,384.956116815,sage_odlyzko_zeta
193,385.861300846,sage_odlyzko_zeta
194,387.222890222,sage_odlyzko_zeta
195,388.846128354,sage_odlyzko_zeta
196,391.456083564,sage_odlyzko_zeta
197,392.24508334,sage_odlyzko_zeta
198,393.427743844,sage_odlyzko_zeta
199,395.582870011,sage_odlyzko_zeta
200,396.381854223,sage_odlyzko_zeta
201,397.91873621,sage_odlyzko_zeta
202,399.985119876,sage_odlyzko_zeta
203,401.839228601,sage_odlyzko_zeta
204,402.861917764,sage_odlyzko_zeta
205,404.2364418,sage_odlyzko_zeta
206,405.13438746,sage_odlyzko_zeta
207,407.581460387,sage_odlyzko_zeta
208,408.947245502,sage_odlyzko_zeta
209,410.513869193,sage_odlyzko_zeta
210,411.972267804,sage_odlyzko_zeta
211,413.26273607,sage_odlyzko_zeta
212,415.018809755,sage_odlyzko_zeta
213,415.455214996,sage_odlyzko_zeta
214,418.38770579,sage_odlyzko_zeta
215,419.861364818,sage_odlyzko_zeta
216,420.643827625,sage_odlyzko_zeta
217,422.076710059,sage_odlyzko_zeta
218,423.716579627,sage_odlyzko_zeta
219,425.069882494,sage_odlyzko_zeta
220,427.208825084,sage_odlyzko_zeta
221,428.127914077,sage_odlyzko_zeta
222,430.328745431,sage_odlyzko_zeta
223,431.301306931,sage_odlyzko_zeta
224,432.138641735,sage_odlyzko_zeta
225,433.889218481,sage_odlyzko_zeta
226,436.161006433,sage_odlyzko_zeta
227,437.581698168,sage_odlyzko_zeta
228,438.621738656,sage_odlyzko_zeta
229,439.918442214,sage_odlyzko_zeta
230,441.683199201,sage_odlyzko_zeta
231,442.904546303,sage_odlyzko_zeta
232,444.319336278,sage_odlyzko_zeta
233,446.860622696,sage_odlyzko_zeta
234,447.441704194,sage_odlyzko_zeta
235,449.148545685,sage_odlyzko_zeta
236,450.12694578,sage_odlyzko_zeta
237,451.403308445,sage_odlyzko_zeta
238,453.986737807,sage_odlyzko_zeta
239,454.974683769,sage_odlyzko_zeta
240,456.328426689,sage_odlyzko_zeta
241,457.903893064,sage_odlyzko_zeta
242,459.513415281,sage_odlyzko_zeta
243,460.087944422,sage_odlyzko_zeta
244,462.065367275,sage_odlyzko_zeta
245,464.057286911,sage_odlyzko_zeta
246,465.671539211,sage_odlyzko_zeta
247,466.570286931,sage_odlyzko_zeta
248,467.43904621,sage_odlyzko_zeta
249,469.536004559,sage_odlyzko_zeta
250,470.773655478,sage_odlyzko_zeta
251,472.799174662,sage_odlyzko_zeta
252,473.835232345,sage_odlyzko_zeta
253,475.600339369,sage_odlyzko_zeta
254,476.769015237,sage_odlyzko_zeta
255,478.075263767,sage_odlyzko_zeta
256,478.942181535,sage_odlyzko_zeta
257,481.830339376,sage_odlyzko_zeta
258,482.834782791,sage_odlyzko_zeta
259,483.851427212,sage_odlyzko_zeta
260,485.539148129,sage_odlyzko_zeta
261,486.528718262,sage_odlyzko_zeta
262,488.38056709,sage_odlyzko_zeta
263,489.661761578,sage_odlyzko_zeta
264,491.398821594,sage_odlyzko_zeta
265,493.314441582,sage_odlyzko_zeta
266,493.957997805,sage_odlyzko_zeta
267,495.358828822,sage_odlyzko_zeta
268,496.429696216,sage_odlyzko_zeta
269,498.58078243,sage_odlyzko_zeta
270,500.309084942,sage_odlyzko_zeta
271,501.604446965,sage_odlyzko_zeta
272,502.276270327,sage_odlyzko_zeta
273,504.499773313,sage_odlyzko_zeta
274,505.415231742,sage_odlyzko_zeta
275,506.46415271,sage_odlyzko_zeta
276,508.800700336,sage_odlyzko_zeta
277,510.264227944,sage_odlyzko_zeta
278,511.5622897,sage_odlyzko_zeta
279,512.623144531,sage_odlyzko_zeta
280,513.668985555,sage_odlyzko_zeta
281,515.435057167,sage_odlyzko_zeta
282,517.589668572,sage_odlyzko_zeta
283,518.234223148,sage_odlyzko_zeta
284,520.106310412,sage_odlyzko_zeta
285,521.525193449,sage_odlyzko_zeta
286,522.456696178,sage_odlyzko_zeta
287,523.960530892,sage_odlyzko_zeta
288,525.077385687,sage_odlyzko_zeta
289,527.903641601,sage_odlyzko_zeta
290,528.406213852,sage_odlyzko_zeta
291,529.806226319,sage_odlyzko_zeta
292,530.866917884,sage_odlyzko_zeta
293,532.688183028,sage_odlyzko_zeta
294,533.779630754,sage_odlyzko_zeta
295,535.664314076,sage_odlyzko_zeta
296,537.069759083,sage_odlyzko_zeta
297,538.428526176,sage_odlyzko_zeta
298,540.213166376,sage_odlyzko_zeta
299,540.631390247,sage_odlyzko_zeta
300,541.847437121,sage_odlyzko_zeta
301,544.323890101,sage_odlyzko_zeta
302,545.636833249,sage_odlyzko_zeta
303,547.010912058,sage_odlyzko_zeta
304,547.931613364,sage_odlyzko_zeta
305,549.497567563,sage_odlyzko_zeta
306,550.970010039,sage_odlyzko_zeta
307,552.049572201,sage_odlyzko_zeta
308,553.764972119,sage_odlyzko_zeta
309,555.792020562,sage_odlyzko_zeta
310,556.899476407,sage_odlyzko_zeta
311,557.564659172,sage_odlyzko_zeta
312,559.316237029,sage_odlyzko_zeta
313,560.240807497,sage_odlyzko_zeta
314,562.559207616,sage_odlyzko_zeta
315,564.160879111,sage_odlyzko_zeta
316,564.506055938,sage_odlyzko_zeta
317,566.698787683,sage_odlyzko_zeta
318,567.731757901,sage_odlyzko_zeta
319,568.92395518,sage_odlyzko_zeta
320,570.051114782,sage_odlyzko_zeta
321,572.419984132,sage_odlyzko_zeta
322,573.614610527,sage_odlyzko_zeta
323,575.093886014,sage_odlyzko_zeta
324,575.807247141,sage_odlyzko_zeta
325,577.039003472,sage_odlyzko_zeta
326,579.098834672,sage_odlyzko_zeta
327,580.136959362,sage_odlyzko_zeta
328,581.946576266,sage_odlyzko_zeta
329,583.236088219,sage_odlyzko_zeta
330,584.561705903,sage_odlyzko_zeta
331,585.984563205,sage_odlyzko_zeta
332,586.742771891,sage_odlyzko_zeta
333,588.139663266,sage_odlyzko_zeta
334,590.660397517,sage_odlyzko_zeta
335,591.725858065,sage_odlyzko_zeta
336,592.5713583,sage_odlyzko_zeta
337,593.974714682,sage_odlyzko_zeta
338,595.728153697,sage_odlyzko_zeta
339,596.362768328,sage_odlyzko_zeta
340,598.493077346,sage_odlyzko_zeta
341,599.545640364,sage_odlyzko_zeta
342,601.602136736,sage_odlyzko_zeta
343,602.579167886,sage_odlyzko_zeta
344,603.625618904,sage_odlyzko_zeta
345,604.616218494,sage_odlyzko_zeta
346,606.383460422,sage_odlyzko_zeta
347,608.413217311,sage_odlyzko_zeta
348,609.389575155,sage_odlyzko_zeta
349,610.839162938,sage_odlyzko_zeta
350,611.774209621,sage_odlyzko_zeta
351,613.599778676,sage_odlyzko_zeta
352,614.646237872,sage_odlyzko_zeta
353,615.538563369,sage_odlyzko_zeta
354,618.112831366,sage_odlyzko_zeta
355,619.184482598,sage_odlyzko_zeta
356,620.272893672,sage_odlyzko_zeta
357,621.709294528,sage_odlyzko_zeta
358,622.37500274,sage_odlyzko_zeta
359,624.269900018,sage_odlyzko_zeta
360,626.019283428,sage_odlyzko_zeta
361,627.268396851,sage_odlyzko_zeta
362,628.325862359,sage_odlyzko_zeta
363,630.473887438,sage_odlyzko_zeta
364,630.805780927,sage_odlyzko_zeta
365,632.225141167,sage_odlyzko_zeta
366,633.546858252,sage_odlyzko_zeta
367,635.523800311,sage_odlyzko_zeta
368,637.39719316,sage_odlyzko_zeta
369,637.925513981,sage_odlyzko_zeta
370,638.927938267,sage_odlyzko_zeta
371,640.694794669,sage_odlyzko_zeta
372,641.945499666,sage_odlyzko_zeta
373,643.278883781,sage_odlyzko_zeta
374,644.99057823,sage_odlyzko_zeta
375,646.348191596,sage_odlyzko_zeta
376,647.761753004,sage_odlyzko_zeta
377,648.786400889,sage_odlyzko_zeta
378,650.197519345,sage_odlyzko_zeta
379,650.668683891,sage_odlyzko_zeta
380,653.649571605,sage_odlyzko_zeta
381,654.301920586,sage_odlyzko_zeta
382,655.709463022,sage_odlyzko_zeta
383,656.964084599,sage_odlyzko_zeta
384,658.175614419,sage_odlyzko_zeta
385,659.663845973,sage_odlyzko_zeta
386,660.716732595,sage_odlyzko_zeta
387,662.296586431,sage_odlyzko_zeta
388,664.244604652,sage_odlyzko_zeta
389,665.342763096,sage_odlyzko_zeta
390,666.515147704,sage_odlyzko_zeta
391,667.148494895,sage_odlyzko_zeta
392,668.97584882,sage_odlyzko_zeta
393,670.323585206,sage_odlyzko_zeta
394,672.458183584,sage_odlyzko_zeta
395,673.043578286,sage_odlyzko_zeta
396,674.35589781,sage_odlyzko_zeta
397,676.139674364,sage_odlyzko_zeta
398,677.230180669,sage_odlyzko_zeta
399,677.800444746,sage_odlyzko_zeta
400,679.742197883,sage_odlyzko_zeta
401,681.894991533,sage_odlyzko_zeta
402,682.60273502,sage_odlyzko_zeta
403,684.013549814,sage_odlyzko_zeta
404,684.972629862,sage_odlyzko_zeta
405,686.163223588,sage_odlyzko_zeta
406,687.961543185,sage_odlyzko_zeta
407,689.368941362,sage_odlyzko_zeta
408,690.474735032,sage_odlyzko_zeta
409,692.451684416,sage_odlyzko_zeta
410,693.176970061,sage_odlyzko_zeta
411,694.5339087,sage_odlyzko_zeta
412,695.726335921,sage_odlyzko_zeta
413,696.6260699,sage_odlyzko_zeta
414,699.132095476,sage_odlyzko_zeta
415,700.296739132,sage_odlyzko_zeta
416,701.301742955,sage_odlyzko_zeta
417,702.227343146,sage_odlyzko_zeta
418,704.033839296,sage_odlyzko_zeta
419,705.125813955,sage_odlyzko_zeta
420,706.1846548,sage_odlyzko_zeta
421,708.269070885,sage_odlyzko_zeta
422,709.22958857,sage_odlyzko_zeta
423,711.13027418,sage_odlyzko_zeta
424,711.900289914,sage_odlyzko_zeta
425,712.74938347,sage_odlyzko_zeta
426,714.082771821,sage_odlyzko_zeta
427,716.112396454,sage_odlyzko_zeta
428,717.482569703,sage_odlyzko_zeta
429,718.742786545,sage_odlyzko_zeta
430,719.697100988,sage_odlyzko_zeta
431,721.351162219,sage_odlyzko_zeta
432,722.277504976,sage_odlyzko_zeta
433,723.845821045,sage_odlyzko_zeta
434,724.56261389,sage_odlyzko_zeta
435,727.05640323,sage_odlyzko_zeta
436,728.405481589,sage_odlyzko_zeta
437,728.758749796,sage_odlyzko_zeta
438,730.416482123,sage_odlyzko_zeta
439,731.417354919,sage_odlyzko_zeta
440,732.818052714,sage_odlyzko_zeta
441,734.789643252,sage_odlyzko_zeta
442,735.765459209,sage_odlyzko_zeta
443,737.052928912,sage_odlyzko_zeta
444,738.580421171,sage_odlyzko_zeta
445,739.909523674,sage_odlyzko_zeta
446,740.573807447,sage_odlyzko_zeta
447,741.757335573,sage_odlyzko_zeta
448,743.895013142,sage_odlyzko_zeta
449,745.344989551,sage_odlyzko_zeta
450,746.499305899,sage_odlyzko_zeta
451,747.674563624,sage_odlyzko_zeta
452,748.242754465,sage_odlyzko_zeta
453,750.655950362,sage_odlyzko_zeta
454,750.966381067,sage_odlyzko_zeta
455,752.887621567,sage_odlyzko_zeta
456,754.322370472,sage_odlyzko_zeta
457,755.839308976,sage_odlyzko_zeta
458,756.76824844,sage_odlyzko_zeta
459,758.101729246,sage_odlyzko_zeta
460,758.900238225,sage_odlyzko_zeta
461,760.282366984,sage_odlyzko_zeta
462,762.70003325,sage_odlyzko_zeta
463,763.593066173,sage_odlyzko_zeta
464,764.307522724,sage_odlyzko_zeta
465,766.0875401,sage_odlyzko_zeta
466,767.218472156,sage_odlyzko_zeta
467,768.281461807,sage_odlyzko_zeta
468,769.693407253,sage_odlyzko_zeta
469,771.070839314,sage_odlyzko_zeta
470,772.961617566,sage_odlyzko_zeta
471,774.117744628,sage_odlyzko_zeta
472,775.047847097,sage_odlyzko_zeta
473,775.999711963,sage_odlyzko_zeta
474,777.29974853,sage_odlyzko_zeta
475,779.157076949,sage_odlyzko_zeta
476,780.348925004,sage_odlyzko_zeta
477,782.137664391,sage_odlyzko_zeta
478,782.597943946,sage_odlyzko_zeta
479,784.288822612,sage_odlyzko_zeta
480,785.739089701,sage_odlyzko_zeta
481,786.461147451,sage_odlyzko_zeta
482,787.468463816,sage_odlyzko_zeta
483,790.059092364,sage_odlyzko_zeta
484,790.831620468,sage_odlyzko_zeta
485,792.427707609,sage_odlyzko_zeta
486,792.888652563,sage_odlyzko_zeta
487,794.48379187,sage_odlyzko_zeta
488,795.606596156,sage_odlyzko_zeta
489,797.263470038,sage_odlyzko_zeta
490,798.707570166,sage_odlyzko_zeta
491,799.654336211,sage_odlyzko_zeta
492,801.604246463,sage_odlyzko_zeta
493,802.541984878,sage_odlyzko_zeta
494,803.243096204,sage_odlyzko_zeta
495,804.762239113,sage_odlyzko_zeta
496,805.861635667,sage_odlyzko_zeta
497,808.151814936,sage_odlyzko_zeta
498,809.197783363,sage_odlyzko_zeta
499,810.081804886,sage_odlyzko_zeta
500,811.184358847,sage_odlyzko_zeta
501,812.771108389,sage_odlyzko_zeta
502,814.045913608,sage_odlyzko_zeta
503,814.870539626,sage_odlyzko_zeta
504,816.727737714,sage_odlyzko_zeta
505,818.380668866,sage_odlyzko_zeta
506,819.204642171,sage_odlyzko_zeta
507,820.721898444,sage_odlyzko_zeta
508,821.713454133,sage_odlyzko_zeta
509,822.197757493,sage_odlyzko_zeta
510,824.526293872,sage_odlyzko_zeta
511,826.039287377,sage_odlyzko_zeta
512,826.905810954,sage_odlyzko_zeta
513,828.3401743,sage_odlyzko_zeta
514,829.437010968,sage_odlyzko_zeta
515,830.895884053,sage_odlyzko_zeta
516,831.799777659,sage_odlyzko_zeta
517,833.003640909,sage_odlyzko_zeta
518,834.651915148,sage_odlyzko_zeta
519,836.693576188,sage_odlyzko_zeta
520,837.34733506,sage_odlyzko_zeta
521,838.249021993,sage_odlyzko_zeta
522,839.46539481,sage_odlyzko_zeta
523,841.036389829,sage_odlyzko_zeta
524,842.041354207,sage_odlyzko_zeta
525,844.166196607,sage_odlyzko_zeta
526,844.805993976,sage_odlyzko_zeta
527,846.194769928,sage_odlyzko_zeta
528,847.97171764,sage_odlyzko_zeta
529,848.489281181,sage_odlyzko_zeta
530,849.862274349,sage_odlyzko_zeta
531,850.645448466,sage_odlyzko_zeta
532,853.163112583,sage_odlyzko_zeta
533,854.09551172,sage_odlyzko_zeta
534,855.286710244,sage_odlyzko_zeta
535,856.484117491,sage_odlyzko_zeta
536,857.310740603,sage_odlyzko_zeta
537,858.904026466,sage_odlyzko_zeta
538,860.410670896,sage_odlyzko_zeta
539,861.171098213,sage_odlyzko_zeta
540,863.189719772,sage_odlyzko_zeta
541,864.34082393,sage_odlyzko_zeta
542,865.594664327,sage_odlyzko_zeta
543,866.423739904,sage_odlyzko_zeta
544,867.693122612,sage_odlyzko_zeta
545,868.670494229,sage_odlyzko_zeta
546,870.846902326,sage_odlyzko_zeta
547,872.188750822,sage_odlyzko_zeta
548,873.098978971,sage_odlyzko_zeta
549,873.908389235,sage_odlyzko_zeta
550,875.985285109,sage_odlyzko_zeta
551,876.600825833,sage_odlyzko_zeta
552,877.654698341,sage_odlyzko_zeta
553,879.38095197,sage_odlyzko_zeta
554,880.834648848,sage_odlyzko_zeta
555,882.386696627,sage_odlyzko_zeta
556,883.430331839,sage_odlyzko_zeta
557,884.198743115,sage_odlyzko_zeta
558,885.27230448,sage_odlyzko_zeta
559,886.852801963,sage_odlyzko_zeta
560,888.475566674,sage_odlyzko_zeta
561,889.735294294,sage_odlyzko_zeta
562,890.813132113,sage_odlyzko_zeta
563,892.38643326,sage_odlyzko_zeta
564,893.119117567,sage_odlyzko_zeta
565,894.886292321,sage_odlyzko_zeta
566,895.397919675,sage_odlyzko_zeta
567,896.632251556,sage_odlyzko_zeta
568,899.221522668,sage_odlyzko_zeta
569,899.858884608,sage_odlyzko_zeta
570,900.849739861,sage_odlyzko_zeta
571,902.243207587,sage_odlyzko_zeta
572,903.099674443,sage_odlyzko_zeta
573,904.702902722,sage_odlyzko_zeta
574,905.829940758,sage_odlyzko_zeta
575,907.656729469,sage_odlyzko_zeta
576,908.333543645,sage_odlyzko_zeta
577,910.186334057,sage_odlyzko_zeta
578,911.234951486,sage_odlyzko_zeta
579,912.3310456,sage_odlyzko_zeta
580,912.823999247,sage_odlyzko_zeta
581,914.730096958,sage_odlyzko_zeta
582,916.355000809,sage_odlyzko_zeta
583,917.82537757,sage_odlyzko_zeta
584,918.836535244,sage_odlyzko_zeta
585,919.44834444,sage_odlyzko_zeta
586,921.156395507,sage_odlyzko_zeta
587,922.500629307,sage_odlyzko_zeta
588,923.285719802,sage_odlyzko_zeta
589,924.773483933,sage_odlyzko_zeta
590,926.551552785,sage_odlyzko_zeta
591,927.850858986,sage_odlyzko_zeta
592,928.663659329,sage_odlyzko_zeta
593,929.874092851,sage_odlyzko_zeta
594,931.009211337,sage_odlyzko_zeta
595,931.852740746,sage_odlyzko_zeta
596,934.385306837,sage_odlyzko_zeta
597,934.995424864,sage_odlyzko_zeta
598,936.228649379,sage_odlyzko_zeta
599,937.532925712,sage_odlyzko_zeta
600,939.024300899,sage_odlyzko_zeta
601,939.660940615,sage_odlyzko_zeta
602,941.156999642,sage_odlyzko_zeta
603,942.052341643,sage_odlyzko_zeta
604,944.18803581,sage_odlyzko_zeta
605,945.333562503,sage_odlyzko_zeta
606,946.765842205,sage_odlyzko_zeta
607,947.079183096,sage_odlyzko_zeta
608,948.346646255,sage_odlyzko_zeta
609,950.151612685,sage_odlyzko_zeta
610,951.033248734,sage_odlyzko_zeta
611,952.72798862,sage_odlyzko_zeta
612,954.12971927,sage_odlyzko_zeta
613,954.829308938,sage_odlyzko_zeta
614,956.675479343,sage_odlyzko_zeta
615,957.510052596,sage_odlyzko_zeta
616,958.41459339,sage_odlyzko_zeta
617,959.459168807,sage_odlyzko_zeta
618,961.669572474,sage_odlyzko_zeta
619,963.182086671,sage_odlyzko_zeta
620,963.567040192,sage_odlyzko_zeta
621,965.055579624,sage_odlyzko_zeta
622,966.110754818,sage_odlyzko_zeta
623,967.371153766,sage_odlyzko_zeta
624,968.636301906,sage_odlyzko_zeta
625,970.125610557,sage_odlyzko_zeta
626,971.071491486,sage_odlyzko_zeta
627,973.185361294,sage_odlyzko_zeta
628,973.873078993,sage_odlyzko_zeta
629,974.774635066,sage_odlyzko_zeta
630,976.178502421,sage_odlyzko_zeta
631,976.917202117,sage_odlyzko_zeta
632,978.766671535,sage_odlyzko_zeta
633,980.57800064,sage_odlyzko_zeta
634,981.288615302,sage_odlyzko_zeta
635,982.396485169,sage_odlyzko_zeta
636,983.575076006,sage_odlyzko_zeta
637,985.186928656,sage_odlyzko_zeta
638,986.13051511,sage_odlyzko_zeta
639,986.756008408,sage_odlyzko_zeta
640,988.992622371,sage_odlyzko_zeta
641,990.223917804,sage_odlyzko_zeta
642,991.374294148,sage_odlyzko_zeta
643,992.728696337,sage_odlyzko_zeta
644,993.214580957,sage_odlyzko_zeta
645,994.404590571,sage_odlyzko_zeta
646,996.205336164,sage_odlyzko_zeta
647,997.511934752,sage_odlyzko_zeta
648,998.827547137,sage_odlyzko_zeta
649,999.791571557,sage_odlyzko_zeta
650,1001.349482638,sage_odlyzko_zeta
651,1002.404305488,sage_odlyzko_zeta
652,1003.267808179,sage_odlyzko_zeta
653,1004.675044121,sage_odlyzko_zeta
654,1005.543420304,sage_odlyzko_zeta
655,1008.006704307,sage_odlyzko_zeta
656,1008.795709901,sage_odlyzko_zeta
657,1009.806590747,sage_odlyzko_zeta
658,1010.569757011,sage_odlyzko_zeta
659,1012.410042516,sage_odlyzko_zeta
660,1013.058638098,sage_odlyzko_zeta
661,1014.689632622,sage_odlyzko_zeta
662,1016.060178943,sage_odlyzko_zeta
663,1017.266402364,sage_odlyzko_zeta
664,1018.605572519,sage_odlyzko_zeta
665,1019.912439744,sage_odlyzko_zeta
